r/G,final rho_c,MCS 0,MCS 1,MCS 2,MCS 3,MCS 4,MCS 5,MCS 6,MCS 7,MCS 8,MCS 9,MCS 10,MCS 11,MCS 12,MCS 13,MCS 14,MCS 15,MCS 16,MCS 17,MCS 18,MCS 19,MCS 20,MCS 21,MCS 22,MCS 23,MCS 24,MCS 25,MCS 26,MCS 27,MCS 28,MCS 29,MCS 30,MCS 31,MCS 32,MCS 33,MCS 34,MCS 35,MCS 36,MCS 37,MCS 38,MCS 39,MCS 40,MCS 41,MCS 42,MCS 43,MCS 44,MCS 45,MCS 46,MCS 47,MCS 48,MCS 49,MCS 50,MCS 51,MCS 52,MCS 53,MCS 54,MCS 55,MCS 56,MCS 57,MCS 58,MCS 59,MCS 60,MCS 61,MCS 62,MCS 63,MCS 64,MCS 65,MCS 66,MCS 67,MCS 68,MCS 69,MCS 70,MCS 71,MCS 72,MCS 73,MCS 74,MCS 75,MCS 76,MCS 77,MCS 78,MCS 79,MCS 80,MCS 81,MCS 82,MCS 83,MCS 84,MCS 85,MCS 86,MCS 87,MCS 88,MCS 89,MCS 90,MCS 91,MCS 92,MCS 93,MCS 94,MCS 95,MCS 96,MCS 97,MCS 98,MCS 99
0.7,0.0,0.4075,0.3475,0.3175,0.25,0.2,0.1675,0.17,0.1475,0.135,0.125,0.1075,0.1125,0.11,0.11,0.08,0.065,0.07,0.0575,0.0525,0.0475,0.0475,0.025,0.0225,0.0175,0.01,0.005,0.005,0.0025,0.0
0.72,0.0,0.395,0.3375,0.2875,0.26,0.2475,0.2475,0.2275,0.2375,0.2325,0.1975,0.1825,0.19,0.17,0.1575,0.145,0.1375,0.1025,0.0975,0.085,0.07,0.075,0.065,0.05,0.0425,0.0425,0.04,0.0275,0.0275,0.0225,0.0125,0.005,0.0
0.74,0.0,0.3875,0.33,0.32,0.27,0.2425,0.2275,0.22,0.215,0.2175,0.1825,0.185,0.165,0.175,0.1825,0.1875,0.195,0.185,0.1675,0.15,0.1475,0.1575,0.15,0.135,0.1325,0.1325,0.1275,0.13,0.1325,0.12,0.11,0.105,0.1125,0.125,0.13,0.1325,0.1325,0.1325,0.14,0.1375,0.1325,0.135,0.135,0.1125,0.105,0.1075,0.1175,0.1275,0.12,0.12,0.1075,0.1025,0.095,0.0875,0.0875,0.0825,0.085,0.08,0.0775,0.075,0.0725,0.0675,0.065,0.0675,0.06,0.07,0.06,0.0475,0.0475,0.04,0.04,0.04,0.0325,0.0325,0.0375,0.0325,0.025,0.025,0.015,0.0125,0.01,0.01,0.0075,0.0075,0.0
0.76,0.0,0.455,0.3825,0.3225,0.3175,0.3,0.2775,0.2625,0.2175,0.2225,0.2175,0.22,0.2025,0.19,0.1575,0.1625,0.1625,0.135,0.1225,0.125,0.1325,0.1225,0.125,0.12,0.125,0.125,0.135,0.135,0.1225,0.0975,0.085,0.075,0.075,0.0775,0.075,0.0825,0.06,0.0525,0.0475,0.045,0.0475,0.04,0.035,0.04,0.0425,0.0475,0.055,0.055,0.0625,0.0525,0.0575,0.0575,0.045,0.045,0.045,0.0475,0.04,0.035,0.0425,0.045,0.04,0.045,0.045,0.045,0.045,0.0425,0.045,0.0425,0.0425,0.0275,0.015,0.0075,0.005,0.005,0.0025,0.0025,0.0
0.78,0.0,0.4775,0.4125,0.345,0.29,0.2875,0.27,0.2475,0.25,0.2325,0.22,0.2325,0.2225,0.2075,0.19,0.1825,0.1875,0.175,0.1525,0.16,0.145,0.135,0.1225,0.115,0.1,0.105,0.1025,0.095,0.1,0.09,0.0875,0.0925,0.095,0.1,0.105,0.1025,0.1,0.1075,0.105,0.11,0.1025,0.1025,0.0875,0.085,0.07,0.075,0.06,0.055,0.05,0.0475,0.045,0.04,0.04,0.0375,0.04,0.04,0.05,0.0575,0.05,0.05,0.0475,0.0475,0.045,0.04,0.0425,0.035,0.0225,0.0175,0.01,0.0075,0.0075,0.005,0.0
0.8,0.0,0.4775,0.425,0.4,0.36,0.3125,0.285,0.28,0.2725,0.265,0.2325,0.2275,0.215,0.205,0.2075,0.19,0.1975,0.2125,0.2175,0.22,0.2,0.19,0.175,0.1575,0.1475,0.16,0.155,0.145,0.1525,0.155,0.1525,0.15,0.1375,0.1325,0.13,0.1175,0.09,0.08,0.08,0.08,0.075,0.065,0.0825,0.07,0.06,0.05,0.045,0.03,0.0275,0.03,0.035,0.0375,0.03,0.0175,0.0175,0.015,0.01,0.0075,0.0075,0.01,0.01,0.0075,0.005,0.0025,0.0025,0.0
0.8200000000000001,0.0,0.41,0.36,0.3175,0.2575,0.235,0.2375,0.1975,0.2025,0.1875,0.18,0.175,0.1725,0.17,0.1425,0.1225,0.1,0.095,0.0875,0.08,0.08,0.0575,0.065,0.07,0.06,0.05,0.0425,0.0375,0.025,0.015,0.0125,0.0125,0.01,0.005,0.0
0.8400000000000001,0.1175,0.3925,0.3175,0.3325,0.28,0.28,0.285,0.2375,0.1975,0.1875,0.1925,0.175,0.1825,0.165,0.1625,0.1525,0.1625,0.1425,0.1475,0.1325,0.15,0.1375,0.1375,0.125,0.1125,0.0975,0.095,0.0775,0.0825,0.0875,0.0825,0.08,0.085,0.0775,0.0725,0.085,0.0875,0.1,0.11,0.105,0.1225,0.12,0.1025,0.095,0.0925,0.0925,0.0975,0.11,0.105,0.1075,0.1025,0.105,0.11,0.1175,0.105,0.1025,0.105,0.1025,0.095,0.0975,0.09,0.085,0.085,0.1025,0.1025,0.11,0.0975,0.1075,0.1025,0.1025,0.095,0.12,0.1325,0.135,0.1375,0.145,0.1525,0.1575,0.1575,0.175,0.175,0.1875,0.1825,0.175,0.1625,0.1675,0.1525,0.1425,0.1575,0.1475,0.1475,0.18,0.1975,0.17,0.195,0.1675,0.1475,0.14,0.1425,0.14,0.1175
0.8600000000000001,0.0225,0.41,0.3425,0.2925,0.285,0.2725,0.2225,0.215,0.205,0.1975,0.2175,0.205,0.1875,0.185,0.19,0.21,0.1825,0.16,0.155,0.13,0.1175,0.1125,0.0925,0.0975,0.12,0.1275,0.115,0.1125,0.1025,0.115,0.125,0.125,0.1225,0.1225,0.1275,0.1275,0.135,0.145,0.14,0.13,0.125,0.135,0.14,0.1525,0.15,0.1375,0.13,0.14,0.1375,0.14,0.13,0.1325,0.1175,0.11,0.105,0.1025,0.0925,0.0775,0.065,0.0475,0.045,0.04,0.0425,0.0375,0.04,0.0375,0.0425,0.0425,0.0325,0.035,0.035,0.0375,0.05,0.045,0.0425,0.055,0.05,0.045,0.04,0.0425,0.05,0.0525,0.055,0.06,0.0575,0.0525,0.055,0.035,0.035,0.0325,0.04,0.0375,0.0375,0.0325,0.03,0.0275,0.0225,0.0225,0.025,0.025,0.0225
0.8800000000000001,0.0375,0.41,0.3125,0.29,0.255,0.26,0.2525,0.2625,0.24,0.2125,0.2,0.18,0.175,0.1675,0.15,0.155,0.145,0.1425,0.145,0.165,0.175,0.1875,0.1825,0.1825,0.19,0.2075,0.205,0.22,0.2175,0.21,0.22,0.2,0.2025,0.1975,0.195,0.195,0.185,0.19,0.175,0.18,0.2025,0.21,0.2075,0.19,0.1825,0.1625,0.17,0.1875,0.1975,0.1775,0.1675,0.1525,0.1375,0.14,0.1375,0.1475,0.135,0.1325,0.1225,0.1075,0.0975,0.0975,0.1075,0.0975,0.0925,0.0825,0.0875,0.09,0.0725,0.0525,0.055,0.045,0.0525,0.055,0.055,0.0375,0.0475,0.0475,0.045,0.045,0.04,0.0325,0.0275,0.025,0.0275,0.025,0.0325,0.025,0.0275,0.0275,0.025,0.0275,0.03,0.0325,0.0375,0.045,0.0425,0.045,0.0425,0.04,0.0375
